Dim.   MFLOPS     Runtime      0x80000032   0x8000003b   0x80000000   0x80000007
   2  782.802      0.0000             139           48            0            0
   4 1207.786      0.0001             657          247            0            0
   8 1416.636      0.0007            4251         1686            0            0
  16 1415.121      0.0058           31135        13448            0            0
  32 1090.093      0.0601          238881       140129          154            0
  64 1386.654      0.3781         1872408       878369        64576            0
 128  835.466      5.0203        14828577     11666322      2185929            2
 256  858.623     39.0793       118032438     90675810     17120834         1921
 512  328.944    816.0510       941887904   1892943287    135667542      4212888
1024  106.558  20153.2590      7525644249  46778591126   1086026381    569056771
2048  --- Measurement is taking too long... aborting.

