Dim.   MFLOPS     Runtime      0x80000032   0x8000003b   0x80000000   0x80000007
   2  379.735      0.0000             246           98            0            0
   4  741.236      0.0002             954          401            0            0
   8 1122.982      0.0009            4833         2118            0            0
  16 1604.312      0.0051           29212        11862            0            0
  32 1867.527      0.0351          198158        81535           32            0
  64 2026.772      0.2587         1446886       600792         8782            0
 128 2080.244      2.0163        11028397      4687240       259933            4
 256 2063.735     16.2591        86052664     37740366      2097798          794
 512 2064.759    130.0081       679747186    301559967     16864247        65841
1024  804.854   2668.1670      5403328608   6180221516    134893083    116068960
2048  759.855  22609.4130     43088122661  52457814712   1111003688   1078686636


